Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Profit,Total Revenue,Unit Cost,Unit Price,Units Sold,
Tuvalu,Baby Food,5/28/2010,669165933,H,Australia and Oceania,Offline,6/27/2010,1582243.50,951410.50,2533654.00,159.42,255.28,9925,
Solomon Islands,Baby Food,2/4/2015,547995746,C,Australia and Oceania,Online,2/21/2015,474115.08,285087.64,759202.72,159.42,255.28,2974,
Kyrgyzstan,Vegetables,6/24/2011,814711606,H,Asia,Online,7/12/2011,11275.32,7828.12,19103.44,90.93,154.06,124,
Bangladesh,Clothes,1/13/2017,187310731,L,Asia,Online,3/1/2017,296145.92,606834.72,902980.64,35.84,109.28,8263,
Mongolia,Personal Care,2/19/2014,832401311,C,Asia,Offline,2/23/2014,277739.67,122819.06,400558.73,56.67,81.73,4901,
Sri Lanka,Cosmetics,11/19/2016,419123971,M,Asia,Offline,12/18/2016,1830670.16,1208744.24,3039414.40,263.33,437.20,6952,
Turkmenistan,Household,12/30/2010,441619336,L,Asia,Offline,1/20/2011,1924728.20,634745.90,2559474.10,502.54,668.27,3830,
East Timor,Meat,7/31/2012,322067916,L,Australia and Oceania,Online,9/11/2012,2154588.52,337937.60,2492526.12,364.69,421.89,5908,
New Zealand,Fruits,9/8/2014,142278373,H,Australia and Oceania,Online,10/4/2014,15134.04,5270.67,20404.71,6.92,9.33,2187,
Kiribati,Fruits,10/13/2014,347140347,M,Australia and Oceania,Online,11/10/2014,37354.16,13009.18,50363.34,6.92,9.33,5398,
Australia,Office Supplies,10/27/2015,158535134,C,Australia and Oceania,Online,11/25/2015,1534983.04,369155.00,1904138.04,524.96,651.21,2924,
Myanmar,Household,1/16/2015,177713572,H,Asia,Offline,3/1/2015,4145955.00,1367272.50,5513227.50,502.54,668.27,8250,
Brunei,Office Supplies,4/1/2012,320009267,L,Asia,Online,5/8/2012,3521431.68,846885.00,4368316.68,524.96,651.21,6708,
Myanmar,Clothes,11/14/2015,223359620,H,Asia,Online,11/18/2015,212531.20,435499.20,648030.40,35.84,109.28,5930,
Fiji,Clothes,6/30/2010,647876489,C,Australia and Oceania,Offline,8/1/2010,354995.20,727423.20,1082418.40,35.84,109.28,9905,
Australia,Cereal,6/9/2013,450563752,H,Australia and Oceania,Offline,7/2/2013,79869.02,60418.38,140287.40,117.11,205.70,682,
Turkmenistan,Office Supplies,4/23/2013,462405812,M,Asia,Online,5/20/2013,2630049.60,632512.50,3262562.10,524.96,651.21,5010,
Federated States of Micronesia,Beverages,10/28/2014,217221009,C,Australia and Oceania,Online,11/15/2014,298158.41,146875.14,445033.55,31.79,47.45,9379,
Laos,Vegetables,9/15/2011,789176547,C,Asia,Offline,10/23/2011,339350.76,235601.16,574951.92,90.93,154.06,3732,
Samoa ,Cosmetics,7/20/2013,670854651,H,Australia and Oceania,Online,8/7/2013,2542187.82,1678540.98,4220728.80,263.33,437.20,9654,
Australia,Beverages,7/7/2014,240470397,H,Australia and Oceania,Offline,7/11/2014,298476.31,147031.74,445508.05,31.79,47.45,9389,
Malaysia,Fruits,11/11/2011,810711038,L,Asia,Offline,12/28/2011,43367.64,15103.47,58471.11,6.92,9.33,6267,
